match_id,date,match_length,game_mode,team_one_score,team_two_score,winning_team,map,ban_1,ban_2,ban_3,ban_4
1210593288,2023-01-20 18:40:00,7,Ranked: Competitive,0,4,2,Shattered Desert,Caspian,Sha Lin,Vatu,Bomb King
1210594848,2023-01-20 18:57:00,14,Ranked: Competitive,2,4,2,Serpent Beach,Sha Lin,Caspian,Bomb King,Androxus
1210598244,2023-01-20 19:32:00,10,Ranked: Competitive,1,4,2,Stone Keep V2 Day,Bomb King,Vatu,Caspian,Azaan
1210600657,2023-01-20 19:57:00,7,Ranked: Competitive,0,4,2,Brightmarsh,Caspian,Androxus,Vatu,Evie
1210602937,2023-01-20 20:20:00,17,Ranked: Competitive,3,4,2,Brightmarsh,Caspian,Androxus,Vatu,Evie
1210606292,2023-01-20 20:53:00,17,Ranked: Competitive,3,4,2,Shattered Desert,Tyra,Caspian,Sha Lin,VII
1210610927,2023-01-20 21:40:00,11,Ranked: Competitive,4,2,1,Brightmarsh,VII,Androxus,Caspian,Evie
1210722879,2023-01-21 21:03:00,9,Ranked: Competitive,4,0,1,Shattered Desert,Androxus,Sha Lin,Raum,Vatu
1210725012,2023-01-21 21:22:00,14,Ranked: Competitive,2,4,2,Jaguar Falls,Androxus,Lillith,Bomb King,Sha Lin
1210728377,2023-01-21 21:52:00,14,Ranked: Competitive,3,4,2,Ice Mines,Fernando,Tiberius,Betty la Bomba,Drogoz
1210731655,2023-01-21 22:23:00,8,Ranked: Competitive,4,0,1,Stone Keep V2 Night,Sha Lin,Bomb King,Androxus,Caspian
1210734000,2023-01-21 22:46:00,10,Ranked: Competitive,4,0,1,Splitstone Quarry,Caspian,Androxus,VII,Bomb King
1210736608,2023-01-21 23:12:00,15,Ranked: Competitive,4,3,1,Frozen Guard,Raum,Strix,Makoa,Khan
1210740324,2023-01-21 23:51:00,13,Ranked: Competitive,2,4,2,Frozen Guard,Lillith,Strix,Bomb King,Tyra
1210742943,2023-01-22 00:20:00,15,Ranked: Competitive,4,3,1,Jaguar Falls,Bomb King,Androxus,Caspian,Sha Lin
1210745857,2023-01-22 00:53:00,17,Ranked: Competitive,4,3,1,Splitstone Quarry,Sha Lin,Vatu,Androxus,VII
1210748751,2023-01-22 01:27:00,7,Ranked: Competitive,0,4,2,Ice Mines,Tiberius,Bomb King,Dredge,Grover
1210750542,2023-01-22 01:49:00,11,Ranked: Competitive,4,1,1,Ice Mines,Caspian,Evie,Dredge,Sha Lin
1210752233,2023-01-22 02:09:00,18,Ranked: Competitive,4,3,1,Shattered Desert,Sha Lin,Bomb King,Cassie,Caspian
1210754880,2023-01-22 02:41:00,11,Ranked: Competitive,1,4,2,Ascension Peak,Caspian,Bomb King,Vatu,Sha Lin
1210757098,2023-01-22 03:08:00,5,Ranked: Competitive,0,4,2,Ice Mines,Tiberius,Caspian,Saati,Bomb King
1210758213,2023-01-22 03:22:00,10,Ranked: Competitive,4,1,1,Warder's Gate,Androxus,Sha Lin,Caspian,Bomb King
1210759815,2023-01-22 03:42:00,16,Ranked: Competitive,4,2,1,Warder's Gate,Androxus,Sha Lin,Caspian,Buck
1210762369,2023-01-22 04:16:00,7,Ranked: Competitive,4,0,1,Stone Keep V2 Night,Caspian,Sha Lin,Bomb King,Betty la Bomba
1210763943,2023-01-22 04:35:00,7,Ranked: Competitive,0,4,2,Warder's Gate,Caspian,Vatu,Bomb King,Raum
1210765131,2023-01-22 04:51:00,15,Ranked: Competitive,4,2,1,Frozen Guard,Androxus,Caspian,Sha Lin,Ruckus
