match_id,team_number,champion,username,pick_number,champ_level,kills,deaths,assists,credits
1222430362,1,Willo,MoreFyer,1,54,9,3,7,2623
1222430362,1,Evie,SlayedByAQueen,2,35,4,13,1,1098
1222430362,1,Makoa,charles67890,3,10,4,9,6,2295
1222430362,1,Betty la Bomba,jackcaseym,4,44,10,5,9,2883
1222430362,1,Jenos,mateom02,5,44,2,6,14,2478
1222430362,2,Furia,CobaltClad,1,17,5,4,19,3075
1222430362,2,Ying,DiroN4310,2,49,8,5,16,2689
1222430362,2,Nyx,deepmoon95,3,23,6,7,14,3045
1222430362,2,Caspian,markpearl7473,4,42,11,8,5,2675
1222430362,2,Vivian,skirtpuppy,5,47,6,5,13,2569
1222428957,1,Lian,Arkanio,1,51,19,10,15,4209
1222428957,1,Skye,charles67890,2,10,11,8,12,3472
1222428957,1,Drogoz,jackcaseym,3,44,19,7,15,4779
1222428957,1,Khan,mateom02,4,44,9,7,19,5170
1222428957,1,Seris,xStarWolf,5,53,3,6,28,4710
1222428957,2,Atlas,B3rs3rk3rhunt3r,1,53,9,10,8,4095
1222428957,2,Azaan,BarelyIrish,2,27,9,11,8,3808
1222428957,2,Zhin,BigJoe84,3,53,13,13,10,3346
1222428957,2,Seris,flowergirl420,4,58,1,10,13,2756
1222428957,2,Lian,markpearl7473,5,42,6,17,7,2959
1222428084,1,Caspian,Aotaxyn,1,58,10,9,6,3048
1222428084,1,Nyx,Diego1999E,2,58,4,4,8,3274
1222428084,1,Lillith,Måäc,3,58,1,2,10,3095
1222428084,1,Bomb King,gtxmatrixTwitch,4,43,9,5,5,2767
1222428084,1,Betty la Bomba,skyland364,5,33,1,9,4,2633
1222428084,2,Betty la Bomba,WillFolju,1,58,8,2,11,2273
1222428084,2,Makoa,charles67890,2,10,13,5,4,2218
1222428084,2,Moji,jackcaseym,3,44,3,6,9,1614
1222428084,2,Io,mateom02,4,44,3,5,12,1843
1222428084,2,Jenos,xRamsyx,5,53,2,7,14,1868
1220970254,1,Jenos,ButtcheekMuncher,1,58,13,7,26,4165
1220970254,1,Saati,FlacePantsTTV,2,48,9,12,15,3310
1220970254,1,Maeve,TTVBeowulf,3,58,16,17,4,3022
1220970254,1,Ying,bellazuu,4,55,7,4,28,3536
1220970254,1,Barik,whispery-cloche3,5,22,2,9,19,3612
